SIREN,SIRET,nom,dirigeant,telephone,email,date_creation,age,departement,pays,code_postal,ville,site_web,famille,micro-famille,chiffre_affaires_montant,chiffre_affaires_annee,resultat_net_montant,resultat_net_annee
814526428,8.14526E+13,Martineau Coste S.A.R.L.,Mathilde Rey,+33 (0)5 18 93 37 79,costerichard@example.com,15/12/2000,24 ans,62,FR,62359,Peltier,http://www.huet.fr/,Habillement,VETEMENTS,49.9,2023,-1.1,2023
345038530,3.45039E+13,Chauvin,Julien de Moreau,05 19 18 06 71,vblanchet@example.net,26/02/1997,27 ans,31,FR,27532,Sainte Laurent,http://www.moulin.com/,Boissons,SODAS,74.1,2020,7.4,2020
762248940,7.62249E+13,Moreno,Anouk Maury,422994034,lucychauvet@example.net,10/1/2003,21 ans,91,FR,72318,Saint Carolinedan,http://www.denis.com/,Bien-Être,COMPLEMENTS ALIMENTAIRES,4.1,2019,3,2020
323979296,3.23979E+13,Loiseau,Victor Fischer,438708616,tadam@example.org,27/06/1974,50 ans,84,FR,11684,Munozdan,https://www.jacob.fr/,Bien-Être,COMPLEMENTS ALIMENTAIRES,63.3,2021,-8.6,2022
712126285,7.12126E+13,Fouquet,Théodore Bourgeois,+33 1 76 76 02 54,mmartineau@example.com,2/10/2014,10 ans,1,FR,57537,Berger,https://martineau.com/,Habillement,CHAUSSURES,46.6,2023,8.1,2021
340601450,3.40601E+13,Marty SA,Corinne Ruiz-Munoz,+33 6 02 49 75 13,stephanie90@example.com,16/11/2014,10 ans,3,FR,4687,Hamon-sur-Marchal,http://baron.fr/,Équipement de la Maison,MEUBLES,29.1,2021,-3.8,2021
755402699,7.55403E+13,Rossi,Renée de la Normand,+33 2 51 33 49 55,dloiseau@example.com,24/09/1997,27 ans,47,FR,51485,Schmitt-sur-Boucher,https://begue.fr/,Produits Frais,LAITAGES,21.1,2019,5.9,2023
621314528,6.21315E+13,Guichard Bonnin S.A.,Honoré Joly,02 98 48 20 64,bernadettedupuis@example.com,24/05/2014,10 ans,94,FR,93415,BlanchardVille,https://grondin.org/,Épicerie,EPICERIE SALEE-CONSERVE DE LEGUMES,59.8,2020,-8.4,2019
732686371,7.32686E+13,Gomez S.A.S.,Anaïs Renaud,+33 6 36 28 83 45,lelievreyves@example.com,24/11/1993,31 ans,64,FR,29823,Boucher-les-Bains,https://richard.com/,Bien-Être,COMPLEMENTS ALIMENTAIRES,84.5,2022,3.2,2022
827554681,8.27555E+13,Pineau S.A.R.L.,Xavier Legros,06 33 40 54 56,morelconstance@example.com,4/4/2001,23 ans,11,FR,22761,MailletBourg,https://www.baron.net/,Habillement,CHAUSSURES,91.4,2019,6.7,2018
564423987,5.64424E+13,Mercier et Fils,Maryse Barbe,468503060,claireleleu@example.org,19/05/2021,3 ans,93,FR,57273,Laporteboeuf,http://albert.fr/,Habillement,ACCESSOIRES,52.3,2021,3.4,2018
585146520,5.85147E+13,Breton,Michelle Perret,+33 5 65 86 61 95,bphilippe@example.com,30/04/2021,3 ans,30,FR,36532,Lecomte,http://www.riou.org/,Produits Frais,LAITAGES,40.1,2022,5.6,2018
565339149,5.65339E+13,Joseph S.A.,Paulette Grégoire de Chevallier,03 21 23 08 09,valettemarcelle@example.org,14/08/1989,35 ans,76,FR,95609,Cohenboeuf,https://www.baudry.org/,Bien-Être,COMPLEMENTS ALIMENTAIRES,7.8,2021,5,2023
